,id,Type,Region,tags.generator:method,tags.generator:source,tags.power,power_output_MW,tags.generator:type,tags.location,tags.frequency,other_tags,geometry,Country
371,990605656,area,MM,combustion,gas,generator,118.0,combined_cycle,NULL,NULL,"{ ""refs"": [ 9153443560, 9153443559, 9153443558, 9153443557, 9153443560 ] }","POLYGON ((97.4072748 16.96443170000003, 97.4059975 16.96443160000003, 97.4060082 16.96352080000003, 97.4072843 16.96350540000003, 97.4072748 16.96443170000003))",MM
378,2324482661,node,MM,combustion,gas,generator,18.0,gas_turbine,NULL,NULL,NULL,POINT (95.2285456 18.72734789999995),MM
399,7735218576,node,MM,run-of-the-river,hydro,generator,33.0,pelton_turbine,NULL,NULL,NULL,POINT (98.08028440000004 25.8315203),MM
401,9147172461,node,MM,run-of-the-river,hydro,generator,33.0,pelton_turbine,NULL,NULL,NULL,POINT (98.08018679999986 25.83171459999994),MM
402,9147172462,node,MM,run-of-the-river,hydro,generator,33.0,pelton_turbine,NULL,NULL,NULL,POINT (98.08022979999987 25.83162279999994),MM
403,9149467153,node,MM,combustion,gas,generator,25.0,gas_turbine,NULL,NULL,NULL,POINT (96.26542840000006 16.663313099999968),MM
404,9149467154,node,MM,combustion,gas,generator,25.0,gas_turbine,NULL,NULL,NULL,POINT (96.265313 16.663549499999966),MM
405,9149467163,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.26846330000006 16.65422179999997),MM
406,9149467164,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.268601 16.65424569999997),MM
407,9149467165,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.26853210000006 16.654233799999968),MM
408,9149467166,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.26866980000005 16.654257699999967),MM
409,9149467167,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.26831440000005 16.654195899999966),MM
410,9149467168,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.26824560000006 16.654184),MM
411,9149467169,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.26817670000005 16.654172),MM
412,9149467170,node,MM,combustion,gas,generator,18.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.26810790000006 16.65416),MM
552,9149467318,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0894851000001 16.89946979999996),MM
553,9149467319,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0895246000001 16.89947539999996),MM
554,9149467320,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0896036000001 16.89948659999996),MM
555,9149467321,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0896431000001 16.899492199999962),MM
556,9149467322,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0894456000001 16.89946419999996),MM
557,9149467323,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0895641000001 16.899481),MM
558,9149467324,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0894061000001 16.899458599999964),MM
559,9149467325,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.08922820000011 16.899433399999964),MM
560,9149467326,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0891835000001 16.899427),MM
561,9149467327,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0891388000001 16.899420699999965),MM
562,9149467328,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.0890941000001 16.899414399999966),MM
563,9149467329,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.08904940000009 16.899408),MM
564,9149467330,node,MM,combustion,gas,generator,4.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.08900470000009 16.899401699999967),MM
565,9149467331,node,MM,combustion,gas,generator,9.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.122767 16.980643499999967),MM
566,9149467332,node,MM,combustion,gas,generator,9.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.1227918000001 16.980695499999968),MM
567,9149467333,node,MM,combustion,gas,generator,9.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.1228167000001 16.980747399999967),MM
568,9149467334,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.1230192000001 16.981440699999965),MM
569,9149467335,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.1230037000001 16.981403199999964),MM
570,9149467336,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12323910000009 16.981437899999964),MM
571,9149467337,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12311040000009 16.981136),MM
572,9149467338,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12319080000009 16.981324699999963),MM
573,9149467339,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.12317470000009 16.981287),MM
574,9149467340,node,MM,combustion,gas,generator,1.0,reciprocating_engine,NULL,NULL,NULL,POINT (96.1231586000001 16.98124919999996),MM
