Model,SEA_AIMS_BAU,,SEA_AIMS_DEC,,APG,,High RE,
Year,2025,2040,2025,2040,2022,2040,2025,2040
Laos - Myanmar,0.06,0.07,0.06,0.07,,0.62,0.76,4.61
Vietnam - Laos,6.08,9.72,6.21,5.21,0.57,0.63,1.34,10.2
Thailand - Laos,71,74.21,72.1,74.09,0.7,0.7,5.3,5.63
Thailand - Myanmar,5.1,2.46,5.09,2.42,,1.26,0.95,1.31
Cambodia - Laos,2.53,3.73,2.94,5.83,0.2,0.63,0.3,0.82
Cambodia - Thailand,4.66,16.43,4.79,27.17,0.23,1.32,7.95,10.12
Cambodia - Vietnam,6.6,21.85,7.68,35.08,0.2,1.36,7.87,10.2
Sabah (M) - Philippines,4.82,4.82,4.82,4.82,,0.2,0.64,6.09
Malay Peninsular (M) - Thailand,6.75,7.41,6.75,13.12,0.3,1.04,9.94,10.3
Sarawak (M) - Brunei,1.2,1.64,1.32,1.07,,0.1,0.54,0.64
Sarawak (M) - Malay Peninsular (M),4.82,4.82,4.82,4.82,,0.7,,3.15
Sarawak (M) - Sabah (M),2.23,8.78,2.76,6.24,0.05,0.18,0.98,2.82
Singapore - Malay Peninsular (M),10.79,9.61,9.78,9.94,0.53,1.05,1.71,3.15
Kalimantan (I) - Sabah (M),0.3,2.05,0.3,1.58,,0.17,1.13,4.32
Kalimantan (I) - Sarawak (M),8,8,8,8,0.23,0.78,0.23,0.77
Sumatra (I) - Malay Peninsular (M),4.82,4.82,4.82,4.82,,2.13,10,10
Sumatra (I) - Singapore,4.82,4.82,4.82,4.82,,1.13,8.6,10
Java-Bali (I) - Kalimantan (I),4.82,4.82,4.82,4.82,,0.44,0.48,0.48
Java-Bali (I) - Sumatra (I),4.82,4.82,4.82,4.82,,10,7.96,10
