Project,EXIST,AIMS,IRENA
Laos - Myanmar,-,1.08,3.12
Vietnam - Laos,33.74,58.81,56.24
Vietnam - Myanmar,-,-,4.82
Thailand - Laos,99.41,74.43,73.5
Thailand - Myanmar,-,8.83,6.55
Thailand - Vietnam,-,-,2.82
Cambodia - Laos,16.8,6.39,2.98
Cambodia - Thailand,-,23.35,24.31
Cambodia - Vietnam,31.6,26.58,24.75
Sabah (M) - Philippines,-,4.82,4.82
Malay Peninsular (M) - Thailand,21.74,32.44,24.72
Sarawak (M) - Brunei,-,2.88,3.02
Sarawak (M) - Malay Peninsular (M),-,4.82,4.82
Sarawak (M) - Sabah (M),-,4.17,3.22
Singapore - Malay Peninsular (M),23.87,25.12,24.44
Kalimantan (I) - Sabah (M),-,1.65,4.03
Kalimantan (I) - Sarawak (M),8.0,8.0,8.0
Sumatra (I) - Malay Peninsular (M),-,4.82,4.82
Sumatra (I) - Singapore,-,4.82,5.64
Sumatra (I) - Thailand,-,-,2.82
Sulawesi (I) - Kalimantan (I),-,-,4.82
Java-Bali (I) - Kalimantan (I),-,8.01,8.0
Java-Bali (I) - Sumatra (I),-,10.2,10.04
Nusa-Tenggara (I) - Java-Bali (I),-,-,13.63
Nusa-Tenggara (I) - Sulawesi (I),-,-,4.82
