Project,SEA_IRENA_,SEA_ERA5_2013_IRENA_,SEA_ERA5_2011_IRENA_
Laos - Myanmar,2.1,0.22,1.92
Vietnam - Laos,12.46,17.89,13.73
Vietnam - Myanmar,19.92,12.32,18.09
Thailand - Laos,17.28,20.52,17.53
Thailand - Myanmar,13.33,40.83,22.4
Thailand - Vietnam,8.38,3.01,9.95
Cambodia - Laos,2.6,3.79,2.32
Cambodia - Thailand,10.53,4.92,9.63
Cambodia - Vietnam,12.56,13.99,11.64
Sabah (M) - Philippines,17.38,26.24,18.39
Malay Peninsular (M) - Thailand,32.46,45.6,35.92
Sarawak (M) - Brunei,0.37,0.37,0.37
Sarawak (M) - Malay Peninsular (M),11.1,21.01,15.02
Sarawak (M) - Sabah (M),2.55,3.66,2.92
Singapore - Malay Peninsular (M),1.79,1.84,1.77
Kalimantan (I) - Sabah (M),5.16,3.57,4.88
Kalimantan (I) - Sarawak (M),2.27,2.27,2.27
Sumatra (I) - Malay Peninsular (M),24.91,36.01,27.8
Sumatra (I) - Singapore,0.34,0.34,0.34
Sumatra (I) - Thailand,6.23,3.88,9.2
Sulawesi (I) - Kalimantan (I),7.41,2.59,6.49
Java-Bali (I) - Kalimantan (I),6.08,5.1,5.31
Java-Bali (I) - Sumatra (I),17.65,23.96,20.88
Nusa-Tenggara (I) - Java-Bali (I),9.94,4.29,9.88
Nusa-Tenggara (I) - Sulawesi (I),11.52,3.72,13.0
