Project,BAU,SE,DEC,APG,PDP,PDP,APG,APG,RE,RE
,2040,2040,2040,2022,2025,2040,2025,2040,2025,2040
Laos - Myanmar,0.1,0.12,0.41,,0.30,0.35,0.31,0.62,0.76,4.61
Vietnam - Laos,11.64,9.89,15.78,0.57,0.57,0.62,0.31,0.63,1.34,10.20
Thailand - Laos,75,75.13,75.12,0.70,0.90,1.30,0.70,0.70,5.30,5.63
Thailand - Myanmar,1.39,1.45,1.06,,,1.25,0.92,1.26,0.95,1.31
Cambodia - Laos,3.93,8.1,7.78,0.20,0.30,0.50,0.31,0.63,0.30,0.82
Cambodia - Thailand,21.37,39.1,39.45,0.23,0.20,1.00,0.35,1.32,7.95,10.12
Cambodia - Vietnam,28.97,51.87,51.67,0.20,0.20,0.25,0.33,1.36,7.87,10.20
Sabah (M) - Philippines,4.82,4.82,7.21,,,0.20,0.15,0.20,0.64,6.09
Malay Peninsular (M) - Thailand,12.31,29.26,49.47,0.30,0.30,0.35,0.30,1.04,9.94,10.30
Sarawak (M) - Brunei,1.7,1.72,1.76,,0.10,0.10,0.06,0.10,0.54,0.64
Sarawak (M) - Malay Peninsular (M),4.82,4.82,4.82,,,,0.06,0.70,,3.15
Sarawak (M) - Sabah (M),8.84,8.48,8.4,0.05,0.10,0.15,0.16,0.18,0.98,2.82
Singapore - Malay Peninsular (M),15.36,15.37,21.01,0.53,1.05,1.05,1.05,1.05,1.71,3.15
Kalimantan (I) - Sabah (M),2.25,2.36,1.75,,,0.20,0.16,0.17,1.13,4.32
Kalimantan (I) - Sarawak (M),8,8,8,0.23,0.23,0.83,0.23,0.78,0.23,0.77
Sumatra (I) - Malay Peninsular (M),4.82,4.82,12.2,,,2.00,1.07,2.13,10.00,10.00
Sumatra (I) - Singapore,4.82,4.82,4.82,,,1.20,0.84,1.13,8.60,10.00
Java-Bali (I) - Kalimantan (I),4.82,8.09,12.33,,,,0.01,0.44,0.48,0.48
Java-Bali (I) - Sumatra (I),12.49,17.29,26.75,,,6.20,7.94,10.00,7.96,10.00
,,,,,,,,,,
,227.45,295.51,349.79,3.01,4.25,17.55,15.25,24.42,66.66,104.61
