Project,BAU,SE,DEC
Laos - Myanmar,1.1,1.4,34.0
Vietnam - Laos,58.8,74.1,87.3
Thailand - Laos,74.4,77.7,100.1
Thailand - Myanmar,8.8,7.1,123.9
Cambodia - Laos,6.4,9.5,36.1
Cambodia - Thailand,23.3,62.6,61.6
Cambodia - Vietnam,26.6,64.4,87.0
Sabah (M) - Philippines,4.8,8.2,12.2
Malay Peninsular (M) - Thailand,32.4,99.8,226.7
Sarawak (M) - Brunei,2.9,3.1,3.3
Sarawak (M) - Malay Peninsular (M),4.8,4.8,11.7
Sarawak (M) - Sabah (M),4.2,6.6,14.4
Singapore - Malay Peninsular (M),25.1,28.1,29.5
Kalimantan (I) - Sabah (M),1.7,1.5,10.0
Kalimantan (I) - Sarawak (M),8.0,8.0,8.0
Sumatra (I) - Malay Peninsular (M),4.8,30.5,114.5
Sumatra (I) - Singapore,4.8,4.8,5.5
Java-Bali (I) - Kalimantan (I),8.0,8.5,14.7
Java-Bali (I) - Sumatra (I),10.2,29.3,103.4
