Project,length,length,length
Laos - Myanmar,349.39,349.39,349.39
Vietnam - Laos,552.42,552.42,552.42
Thailand - Laos,1746.89,1746.89,1746.89
Thailand - Myanmar,208.86,208.86,208.86
Cambodia - Laos,447.09,447.09,447.09
Cambodia - Thailand,195.0,195.0,195.0
Cambodia - Vietnam,620.27,620.27,620.27
Sabah (M) - Philippines,1243.81,1243.81,1243.81
Malay Peninsular (M) - Thailand,287.21,287.21,287.21
Sarawak (M) - Brunei,37.24,37.24,37.24
Sarawak (M) - Malay Peninsular (M),1029.31,1029.31,1029.31
Sarawak (M) - Sabah (M),158.53,158.53,158.53
Singapore - Malay Peninsular (M),67.84,67.84,67.84
Kalimantan (I) - Sabah (M),175.3,175.3,175.3
Kalimantan (I) - Sarawak (M),262.29,262.29,262.29
Sumatra (I) - Malay Peninsular (M),324.27,324.27,324.27
Sumatra (I) - Singapore,60.14,60.14,60.14
Java-Bali (I) - Kalimantan (I),649.51,649.51,649.51
Java-Bali (I) - Sumatra (I),178.48,178.48,178.48
