Project,BAU,SE,DEC
Laos - Myanmar,0.1,0.12,0.41
Vietnam - Laos,11.64,9.89,15.78
Thailand - Laos,75.0,75.13,75.12
Thailand - Myanmar,1.39,1.45,1.06
Cambodia - Laos,3.93,8.1,7.78
Cambodia - Thailand,21.37,39.1,39.45
Cambodia - Vietnam,28.97,51.87,51.67
Sabah (M) - Philippines,4.82,4.82,7.21
Malay Peninsular (M) - Thailand,12.31,29.26,49.47
Sarawak (M) - Brunei,1.7,1.72,1.76
Sarawak (M) - Malay Peninsular (M),4.82,4.82,4.82
Sarawak (M) - Sabah (M),8.84,8.48,8.4
Singapore - Malay Peninsular (M),15.36,15.37,21.01
Kalimantan (I) - Sabah (M),2.25,2.36,1.75
Kalimantan (I) - Sarawak (M),8.0,8.0,8.0
Sumatra (I) - Malay Peninsular (M),4.82,4.82,12.2
Sumatra (I) - Singapore,4.82,4.82,4.82
Java-Bali (I) - Kalimantan (I),4.82,8.09,12.33
Java-Bali (I) - Sumatra (I),12.49,17.29,26.75
