Project,BAU,SE,DEC
Laos - Myanmar,349.39,349.39,349.39
Vietnam - Laos,545.24,545.24,545.24
Thailand - Laos,1939.76,1939.76,1939.76
Thailand - Myanmar,192.04,192.04,192.04
Cambodia - Laos,447.09,447.09,447.09
Cambodia - Thailand,199.45,199.45,199.45
Cambodia - Vietnam,620.9,620.9,620.9
Sabah (M) - Philippines,1243.81,1243.81,1243.81
Malay Peninsular (M) - Thailand,636.27,636.27,636.27
Sarawak (M) - Brunei,37.24,37.24,37.24
Sarawak (M) - Malay Peninsular (M),1041.97,1041.97,1041.97
Sarawak (M) - Sabah (M),158.53,158.53,158.53
Singapore - Malay Peninsular (M),67.84,67.84,67.84
Kalimantan (I) - Sabah (M),252.9,252.9,252.9
Kalimantan (I) - Sarawak (M),283.82,283.82,283.82
Sumatra (I) - Malay Peninsular (M),334.85,334.85,334.85
Sumatra (I) - Singapore,60.14,60.14,60.14
Java-Bali (I) - Kalimantan (I),650.7,650.7,650.7
Java-Bali (I) - Sumatra (I),158.27,158.27,158.27
