Project,BAU,SE,DEC,AIMS Planned,AIMS Exist
Laos - Myanmar,1.1,1.4,34,0.35,0.03
Vietnam - Laos,58.8,74.1,87.3,0.62,
Thailand - Laos,74.4,77.7,100.1,1.3,
Thailand - Myanmar,8.8,7.1,123.9,1.25,
Cambodia - Laos,6.4,9.5,36.1,,
Cambodia - Thailand,23.3,62.6,61.6,,
Cambodia - Vietnam,26.6,64.4,87,,
Sabah (M) - Philippines,4.8,8.2,12.2,0.2,
Malay Peninsular (M) - Thailand,32.4,99.8,226.7,,0.3
Sarawak (M) - Brunei,2.9,3.1,3.3,0.1,
Sarawak (M) - Malay Peninsular (M),4.8,4.8,11.7,1.05,
Sarawak (M) - Sabah (M),4.2,6.6,14.4,,
Singapore - Malay Peninsular (M),25.1,28.1,29.5,1.05,
Kalimantan (I) - Sabah (M),1.7,1.5,10,0.2,
Kalimantan (I) - Sarawak (M),8,8,8,0.83,0.23
Sumatra (I) - Malay Peninsular (M),4.8,30.5,114.5,2,
Sumatra (I) - Singapore,4.8,4.8,5.5,1.6,
Java-Bali (I) - Kalimantan (I),8,8.5,14.7,?,
Java-Bali (I) - Sumatra (I),10.2,29.3,103.4,6.2,
