Project,BAU,SE,DEC,IRENA
Year,2050,2050,2050,2050
Laos - Myanmar,3.1,0.8,6.1,5
Vietnam - Laos,56.2,74.6,51,24
Vietnam - Myanmar,4.8,4.8,34.4,13
Thailand - Laos,73.5,81.9,84.1,5
Thailand - Myanmar,6.6,3.2,58.1,11
Thailand - Vietnam,2.8,6.6,8.9,14
Cambodia - Laos,3,6.2,17.1,0
Cambodia - Thailand,24.3,54.2,52,2
Cambodia - Vietnam,24.8,59.1,76.4,22
Sabah (M) - Philippines,4.8,5.9,14.4,9
Malay Peninsular (M) - Thailand,24.7,89.7,181.9,0.5
Sarawak (M) - Brunei,3,3,3.3,2
Sarawak (M) - Malay Peninsular (M),4.8,4.8,10.7,0
Sarawak (M) - Sabah (M),3.2,5.5,17.9,4
Singapore - Malay Peninsular (M),24.4,26.3,27.4,5
Kalimantan (I) - Sabah (M),4,5,21.9,13
Kalimantan (I) - Sarawak (M),8,8,8,4
Sumatra (I) - Malay Peninsular (M),4.8,24.8,83.4,18
Sumatra (I) - Singapore,5.6,5.6,5.6,9
Sumatra (I) - Thailand,2.8,5.1,8.4,4.5
Sulawesi (I) - Kalimantan (I),4.8,5.5,21.1,1
Java-Bali (I) - Kalimantan (I),8,9.3,10,33
Java-Bali (I) - Sumatra (I),10,25.7,80.5,36
Nusa-Tenggara (I) - Java-Bali (I),13.6,14.7,39.1,31
Nusa-Tenggara (I) - Sulawesi (I),4.8,4.8,21.4,10
Total,330.4,535.1,943.1,276
