Project,BAU,SE,DEC
Laos - Myanmar,3.1,0.8,6.1
Vietnam - Laos,56.2,74.6,51.0
Vietnam - Myanmar,4.8,4.8,34.4
Thailand - Laos,73.5,81.9,84.1
Thailand - Myanmar,6.6,3.2,58.1
Thailand - Vietnam,2.8,6.6,8.9
Cambodia - Laos,3.0,6.2,17.1
Cambodia - Thailand,24.3,54.2,52.0
Cambodia - Vietnam,24.8,59.1,76.4
Sabah (M) - Philippines,4.8,5.9,14.4
Malay Peninsular (M) - Thailand,24.7,89.7,181.9
Sarawak (M) - Brunei,3.0,3.0,3.3
Sarawak (M) - Malay Peninsular (M),4.8,4.8,10.7
Sarawak (M) - Sabah (M),3.2,5.5,17.9
Singapore - Malay Peninsular (M),24.4,26.3,27.4
Kalimantan (I) - Sabah (M),4.0,5.0,21.9
Kalimantan (I) - Sarawak (M),8.0,8.0,8.0
Sumatra (I) - Malay Peninsular (M),4.8,24.8,83.4
Sumatra (I) - Singapore,5.6,5.6,5.6
Sumatra (I) - Thailand,2.8,5.1,8.4
Sulawesi (I) - Kalimantan (I),4.8,5.5,21.1
Java-Bali (I) - Kalimantan (I),8.0,9.3,10.0
Java-Bali (I) - Sumatra (I),10.0,25.7,80.5
Nusa-Tenggara (I) - Java-Bali (I),13.6,14.7,39.1
Nusa-Tenggara (I) - Sulawesi (I),4.8,4.8,21.4
